currency,details,image,images,ingredients,price,product_description,product_id,product_name,product_url,regular_price,unique_id
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-18380-1179813135-qWxxAVgJ.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-18380-1179813135-qWxxAVgJ-medium.png",,"Zutaten: Zucker, EIER, WEIZENMEHL, Rapsöl, WEIZENSTÄRKE, Feuchthaltemittel: Glycerin; Glukose-Fruktose-Sirup, fettarmes Kakaopulver² (1%), Emulgator: Mono- und Diglyceride von Speisefettsäuren; Salz, Backtriebmittel: Diphosphate, Natriumcarbonate.",2.19,Enthält - Ist im Produkt enthalten,27-18380,"Marmorkuchen, 400g",https://www.cleverleben.at/produkt/marmorkuchen-400g-2718380,2.19,2718380
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-15856-01129708790-3y20YLIT.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-15856-01129708790-3y20YLIT-medium.png",,"Zutaten: WEIZENMEHL 72%, Wasser, Hefe, jodiertes Speisesalz (Speisesalz, Kaliumiodat), Dextrose, Säureregulator: Natriumacetate.",0.89,Enthält - Ist im Produkt enthalten,27-15856,"Brötchen zum Fertigbacken, 300g",https://www.cleverleben.at/produkt/broetchen-zum-fertigbacken-300g-2715856,0.89,2715856
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-12794-1665793804-gXYs053e.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-12794-1665793804-gXYs053e-medium.png",,"Zutaten: WEIZENMEHL, Nussnougatcreme 30% (Zucker, Sonnenblumenöl, SÜSSMOLKENPULVER, HASELNÜSSE 10%, Palmöl, fettarmes Kakaopulver² 6%, MAGERMILCHPULVER, Emulgator: Lecithine (SOJA), natürliches Aroma), Wasser, Palmöl, Zucker, Sonnenblumenöl, HÜHNEREIER*, Invertzucker, Feuchthaltemittel: Glycerin, Sorbit; MAGERMILCHPULVER, GERSTENMALZEXTRAKT, Hefe, Speisesalz, Emulgatoren: Mono- und Diglyceride von Speisefettsäuren, Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren; natürliches Aroma.",1.79,Enthält - Ist im Produkt enthalten,27-12794,"Nuss-Nougat-Croissants, 240g",https://www.cleverleben.at/produkt/nussnougatcroissants-240g-2712794,1.79,2712794
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-1829-02031291568-J8aZ8o6c.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-1829-02031291568-J8aZ8o6c-medium.png",,"Zutaten: WEIZENMEHL, Wasser, Hefe, Speisesalz, WEIZENMALZMEHL, WEIZENGLUTEN.",1.19,Kann Spuren enthalten von,27-1829,"Semmelwürfel, 500g",https://www.cleverleben.at/produkt/semmelwuerfel-500g-271829,1.19,271829
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-11141-1439992236-N1p5KlmC.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-11141-1439992236-N1p5KlmC-medium.png",,"Zutaten: WEIZENMEHL, Zucker, EIER* (11%), Rapsöl, Wasser, MAGERMILCHPULVER (2%**), Emulgatoren: Mono- und Diglyceride von Speisefettsäuren, Natriumstearoyl-2-lactylat; Speisesalz, Backhefe, natürliches Aroma***, natürliches Vanillearoma***, WEIZENGLUTEN, Verdickungsmittel: Tarakernmehl; Antioxidationsmittel: Ascorbinsäure.",1.69,Kann Spuren enthalten von,27-11141,"Milchbrötchen, 480g",https://www.cleverleben.at/produkt/milchbroetchen-480g-2711141,1.69,2711141
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-11100-01540499841-06zY_S3-.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-11100-01540499841-06zY_S3--medium.png",,"Zutaten: Zucker, Kokosflocken (20%), Glukosesirup, HÜHNEREIEIWEISS* (7%), Palmöl, WEIZENMEHL, Dextrose, Feuchthaltemittel: Sorbit; Kokosfett ganz gehärtet, Reismehl, mageres Kakaopulver² (1,8%), Kokosfett, Sonnenblumenöl, Rapsöl, Invertzuckersirup, Honig, Speisesalz, Aroma (enthält MILCH), Emulgator: Lecithine (enthält SOJA); Säuerungsmittel: Citronensäure.",2.59,Enthält - Ist im Produkt enthalten,27-11100,"Kokoskuppeln, 220g",https://www.cleverleben.at/produkt/kokoskuppeln-220g-2711100,2.59,2711100
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-11096-1307073415-ImJVPcPB.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-11096-1307073415-ImJVPcPB-medium.png",,"Zutaten: Zucker, WEIZENMEHL, HÜHNERVOLLEI* (6%), Marillen, Feuchthaltemittel: Sorbit; Palmkernöl**, Glukose-Fruktose-Sirup, Aroma (enthält MILCH), Glukosesirup, Sonnenblumenöl, Palmöl**, Rapsöl ganz gehärtet, Kartoffelstärke, Rote Ribisel, SÜSSMOLKENPULVER, HÜHNEREIEIWEISS* (1%), BUTTER, Kokosfett ganz gehärtet, mageres Kakaopulver², Kokosflocken, HASELNÜSSE, Rapsöl, Invertzuckersirup, Kokosfett, MAGERMILCHPULVER, Kakaomasse², Kakaobutter², Dextrose, Reismehl, Gewürze, WEIZENSTÄRKE, Maisstärke, VOLLMILCHPULVER, Honig, Farbstoff: Echtes Karmin; Ethylalkohol (0,8%), Speisesalz, Zitronensaftkonzentrat, Stabilisator: Agar-Agar; Säuerungsmittel: Citronensäure; Emulgator: Lecithine (enthält SOJA); modifizierte Stärke; Geliermittel: Pektine; Konservierungsstoffe: Kaliumsorbat, Sorbinsäure.",2.59,Enthält - Ist im Produkt enthalten,27-11096,"Punschkrapfen mit Rumgeschmack, 250g",https://www.cleverleben.at/produkt/punschkrapfen-mit-rumgeschmack-250g-2711096,2.59,2711096
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-5932-01359034940-uyYLKboy.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-5932-01359034940-uyYLKboy-medium.png",,Zutaten: Natives Olivenöl extra,4.49,"Bruttogewicht: 0,9 Kilogramm",27-5932,"Natives Olivenöl extra, 750ml",https://www.cleverleben.at/produkt/natives-olivenoel-extra-750ml-275932,4.49,275932
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3777-718882688-XObpNjq2.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3777-718882688-XObpNjq2-medium.png",,"Zutaten: 78 % Rapsöl, 8,3 % pasteurisiertes EIGELB*, Wasser, Zucker, Weingeistessig, Speisesalz, modifizierte Stärke, Dextrose, Gewürze (enthält SENFSAAT), Gewürzextrakte, Zitronensaftkonzentrat, natürliches Aroma.",1.99,Enthält - Ist im Produkt enthalten,27-3777,"Mayonnaise 80% Fett, 275g",https://www.cleverleben.at/produkt/mayonnaise-80-fett-275g-273777,1.99,273777
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3776-01501834363-2nO6hk47.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3776-01501834363-2nO6hk47-medium.png",,"Zutaten: Trinkwasser, 24% Rapsöl, Glukose-Fruktosesirup, 4,8% pasteursiertes EIGELB*, modifizierte Stärke, Speisesalz, Weingeistessig, Säuerungsmittel: Citronensäure, Milchsäure; SENFSAAT, Gewürze, Gewürzextrakte, Zucker, Konservierungsstoff: Sorbinsäure; Verdickungsmittel: Xanthan, Guarkernmehl; natürliches Aroma.",1.78,Enthält - Ist im Produkt enthalten,27-3776,"Mayonnaise 25% Fett, 275g",https://www.cleverleben.at/produkt/mayonnaise-25-fett-275g-273776,1.78,273776
